Column Name,Data Type,Non-Null Count,Null Count
order_id,object,110189,0
customer_id,object,110189,0
order_status,object,110189,0
order_purchase_timestamp,datetime64[ns],110189,0
order_approved_at,datetime64[ns],110174,15
order_delivered_carrier_date,datetime64[ns],110188,1
order_delivered_customer_date,datetime64[ns],110189,0
order_estimated_delivery_date,datetime64[ns],110189,0
order_year,int64,110189,0
order_month,int64,110189,0
order_quarter,int64,110189,0
order_year_month,object,110189,0
delivery_time_days,float64,110189,0
delivery_vs_estimated,float64,110189,0
order_item_id,int64,110189,0
product_id,object,110189,0
seller_id,object,110189,0
shipping_limit_date,object,110189,0
price,float64,110189,0
freight_value,float64,110189,0
total_price,float64,110189,0
product_category_name,object,110189,0
product_name_lenght,float64,108652,1537
product_description_lenght,float64,108652,1537
product_photos_qty,float64,108652,1537
product_weight_g,float64,110189,0
product_length_cm,float64,110189,0
product_height_cm,float64,110189,0
product_width_cm,float64,110189,0
product_volume_cm3,float64,110189,0
product_weight_kg,float64,110189,0
seller_seller_zip_code_prefix,int64,110189,0
seller_seller_city,object,110189,0
seller_seller_state,object,110189,0
customer_unique_id,object,110189,0
customer_zip_code_prefix,int64,110189,0
customer_city,object,110189,0
customer_state,object,110189,0
total_payments,float64,110186,3
payment_types,object,110186,3
max_installments,float64,110186,3
total_payment_value,float64,110186,3
avg_review_score,float64,109362,827
review_message,object,45963,64226
avg_comment_length,float64,109362,827
customer_geo_geolocation_lat,float64,109901,288
customer_geo_geolocation_lng,float64,109901,288
customer_geo_geolocation_city,object,109901,288
customer_geo_geolocation_state,object,109901,288
seller_geo_geolocation_lat,float64,109940,249
seller_geo_geolocation_lng,float64,109940,249
seller_geo_geolocation_city,object,109940,249
seller_geo_geolocation_state,object,109940,249
profit_margin,float64,110186,3
delivery_performance,object,110189,0
customer_segment,category,110186,3
product_size_category,category,110189,0
review_category,category,109362,827
order_day_of_week,object,110189,0
order_hour,int32,110189,0
has_installments,bool,110189,0
