order_year_month,total_orders,total_revenue,avg_order_value
2016-09,1,,
2016-10,265,61746.94,197.27
2016-12,1,19.62,19.62
2017-01,750,176491.49,193.31
2017-02,1653,325782.66,175.34
2017-03,2546,505735.83,174.57
2017-04,2303,456108.32,177.54
2017-05,3545,701119.6,175.15
2017-06,3135,585400.98,167.78
2017-07,3872,716069.98,162.15
2017-08,4193,842689.94,175.67
2017-09,4150,996279.59,210.32
2017-10,4478,998609.62,191.52
2017-11,7288,1548547.86,182.74
2017-12,5513,1020067.26,164.87
2018-01,7069,1374064.02,170.97
2018-02,6555,1279970.45,170.25
2018-03,7003,1435458.33,179.05
2018-04,6798,1466607.15,187.38
2018-05,6749,1480667.59,189.59
2018-06,6096,1285396.78,183.44
2018-07,6156,1306707.42,187.75
2018-08,6351,1211240.09,169.59
